number_of_reviews,price_range,ratingValue,name,address
452,$11-30,4.0,Crow,823 5th Ave N Seattle WA 98109
30,$11-30,4.0,Aviator Pizza & Drafthouse,6501 S Congress Ave Austin TX 78745
48,$11-30,4.5,Citizen Eatery,5011 Burnet Rd Austin TX 78756
2642,$11-30,4.0,Umi Sake House,2230 1st Ave Seattle WA 98121
155,$11-30,4.0,Ola Poke,6808 N Lamar Blvd Austin TX 78752
59,$11-30,4.0,EastSide Tavern,1510 E Cesar Chavez Austin TX 78702
194,$31-60,4.5,mkt.,2108 N 55th St Seattle WA 98103
45,$11-30,4.0,Old Thousand,1000 E 11th St Austin TX 78702
168,Above $61,4.0,Driskill Grill,604 Brazos St Austin TX 78701
231,$11-30,4.5,Sala & Betty,5201 Airport Blvd Austin TX 78751
51,$31-60,4.5,Red Ash,303 Colorado St Austin TX 78701
635,$11-30,4.5,Reserve a Table,14 Christopher St New York NY 10014
911,$11-30,4.0,The Dead Rabbit,30 Water St New York NY 10004
28,$31-60,4.5,Coffeemania,1065 Ave Of The Americas New York NY 10018
240,Under $10,4.5,Pickle Guys,357 Grand St New York NY 10002
281,$11-30,4.0,Chikarashi,227 Canal St New York NY 10013
23,$11-30,4.5,Coarse NYC,306 W 13th St New York NY 10014
72,Under $10,4.5,Gnarly Eats,447 7th Ave Brooklyn NY 11215
514,$31-60,4.5,Reserve a Table,89 Conselyea St Brooklyn NY 11211
124,Under $10,4.5,A + Hong Kong Kitchen,419 6th Ave S Seattle WA 98104
3185,$11-30,4.0,Serious Pie,316 Virginia St Seattle WA 98121
35,Under $10,4.0,Tacos Chukis,832 Dexter Ave N Seattle WA 98109
260,$11-30,4.5,2nd City,525 Hudson St New York NY 10014
72,$11-30,4.5,The Wild Son,53 Little W 12th St New York NY 10014
519,$11-30,4.5,Some Random Bar,2604 1st Ave Seattle WA 98121
2797,$11-30,4.0,Toulouse Petit,601 Queen Anne Ave N Seattle WA 98109
8,$11-30,5.0,Little Lago,2919 Fuhrman Ave E Seattle WA 98102
15,$31-60,4.5,Kim’s Bistro,2850 Quimby Rd San Jose CA 95148
3994,Under $10,4.5,Piroshky Piroshky,1908 Pike Pl Seattle WA 98101
122,$11-30,4.0,IPOH Garden Malaysian Cuisine,150 S First St San Jose CA 95113
1622,Under $10,4.0,Biscuit Bitch,1909 1st Ave Seattle WA 98101
390,$31-60,4.0,Reserve a Table,15005 Mount Hamilton Rd San Jose CA 95140
2763,$11-30,4.0,Lola,2000 4th Ave Seattle WA 98121
76,$11-30,4.0,Sushi Jae,4710 Meridian Ave San Jose CA 95118
23,$11-30,4.5,BOB KOREAN BBQ,4320 Moorpark Ave San Jose CA 95129
581,Under $10,4.5,The City Fish,30 E Santa Clara St San Jose CA 95113
263,$11-30,4.0,Bonchon,1375 Blossom Hill Rd San Jose CA 95118
47,$11-30,4.5,Demiya,375 Saratoga Ave San Jose CA 95129
21,$11-30,4.0,Kemuri Tatsu-ya,2713 E 2nd St Austin TX 78702
253,Under $10,4.5,The Big Kahuna,5000 Burnet Rd Austin TX 78756
145,$11-30,4.0,Jack Holder’s Restaurant & Bar,3153 Meridian Ave San Jose CA 95124
612,$11-30,4.0,Enoteca Vespaio,1610 S Congress Ave Austin TX 78704
16,$11-30,5.0,Li’l Nonna’s,1505 Town Creek Dr Austin TX 78741
37,$11-30,4.5,Coast Bar & Kitchen,360 Nueces St Austin TX 78701
370,$11-30,4.5,The Hightower,1209 E 7th St Austin TX 78702
468,$11-30,4.0,Reserve a Table,2115 Holly St Austin TX 78702
116,$11-30,4.5,Picnik Austin,4801 Burnet Rd Austin TX 78756
140,$11-30,4.0,Hometown Noodle,3617 Union Ave San Jose CA 95124
120,$11-30,4.0,Odenyaki Bistro,71 Curtner Ave San Jose CA 95125
46,$11-30,4.5,Salad Farm,55 River Oaks Pl San Jose CA 95134
42,$11-30,4.0,Yumeya Sushi,6174 Bollinger Rd San Jose CA 95129
103,$11-30,4.0,Bar Bay Grill,375 Saratoga Ave San Jose CA 95129
579,$11-30,4.0,Poke House,1698 Hostetter Rd San Jose CA 95131
361,Under $10,4.0,HOM Korean Kitchen,76 E Santa Clara St San Jose CA 95113
823,$11-30,4.0,KoJa Kitchen,1085 E Brokaw Rd San Jose CA 95131
707,Under $10,3.5,The Halal Guys,81 Curtner Ave San Jose CA 95125
94,$11-30,4.0,Dish n Dash,2551 N 1st St San Jose CA 95131
40,$11-30,4.5,The Gumbo Bros,224 Atlantic Ave Brooklyn NY 11201
296,$11-30,4.5,Fishmarket Restaurant,111 South St New York NY 10038
1466,Under $10,4.5,Los Tacos No.1,75 9th Ave New York NY 10011
40,Under $10,5.0,The Blue Light Speak Cheesy,343 Franklin Ave Brooklyn NY 11238
2944,$11-30,4.5,Burger & Lobster,39 W 19th St New York NY 10011
31,Under $10,4.5,The Rice Noodle,190 Bleecker St New York NY 10012
1098,Under $10,4.5,Breakroom,83 Baxter St New York NY 10013
53,$11-30,5.0,The Topaz,251 Bushwick Ave Brooklyn NY 11206
1321,$11-30,4.5,The Boil,139 Chrystie St New York NY 10002
196,$11-30,5.0,The Alcove,41-11 49th St Sunnyside NY 11104
65,$11-30,4.5,Red Poke,600 9th Ave New York NY 10036
1488,$11-30,4.5,Amélie,22 W 8th St New York NY 10011
306,$11-30,4.5,Thai Villa,5 E 19th St New York NY 10003
422,$11-30,4.5,Despaña,408 Broome St New York NY 10013
2137,Above $61,4.5,Gramercy Tavern,42 E 20th St New York NY 10003
47,Under $10,4.5,The Wei,30 Dekalb Ave Brooklyn NY 11201
1306,$11-30,4.5,Upstate,95 1st Ave New York NY 10003
221,$31-60,4.0,Black Sheep Brasserie,1202 Lincoln Ave San Jose CA 95125
721,Above $61,4.0,Reserve a Table,410 Saratoga Ave San Jose CA 95129
709,$11-30,4.5,Claw Shack,1696 Berryessa Rd San Jose CA 95133
18,$11-30,4.5,Sunfish Poke Bar,925 Blossom Hill Rd San Jose CA 95123
184,$11-30,4.5,Hoki Poke,1051 E Capitol Expy San Jose CA 95121
1725,$11-30,4.0,Reserve a Table,1110 Willow St San Jose CA 95125
2136,$11-30,4.0,Smoking Pig BBQ,1144 N 4th St San Jose CA 95112
131,$11-30,4.0,The Breakfast Club,1432 W San Carlos St San Jose CA 95126
1034,$11-30,4.0,Reserve a Table,69 N San Pedro St San Jose CA 95110
195,$31-60,4.0,ADEGA Restaurant,1614 Alum Rock Ave San Jose CA 95116
25,$11-30,4.5,cycene,1523 1st Ave Seattle WA 98101
463,$11-30,4.5,Chan Seattle,86 Pine St Seattle WA 98101
1107,$11-30,4.5,Tilikum Place Cafe,407 Cedar St Seattle WA 98121
275,Under $10,4.5,Umma’s Lunch Box,1301 5th Ave Seattle WA 98101
780,$11-30,4.5,Radiator Whiskey,94 Pike St Seattle WA 98101
18,$11-30,5.0,Cook Weaver,806 E Roy St Seattle WA 98102
523,$11-30,4.5,Witness,410 Broadway E Seattle WA 98102
164,$31-60,4.5,Heartwood Provisions,1103 1st Ave Seattle WA 98101
224,$11-30,4.5,Pomodoro,2366 Eastlake Ave E Seattle WA 98102
54,$31-60,5.0,Copine,6460 24th Ave NW Seattle WA 98107
4285,Under $10,4.5,Paseo Caribbean Food - Fremont,4225 Fremont Ave N Seattle WA 98103
67,Under $10,4.5,Dueminuti Healthy Pasta,412 Broadway E Seattle WA 98102
4397,$11-30,4.5,Pike Place Chowder,1530 Post Aly Seattle WA 98101
13,$11-30,5.0,Little Tin Goods & Apothocary Cabinet,5335 Ballard Ave NW Seattle WA 98107
229,$11-30,4.5,Manolin,3621 Stone Way N Seattle WA 98103
37,$31-60,4.5,Buenos Aires Grill,2328 1st Ave Seattle WA 98121
36,$11-30,4.5,Revelry Kitchen + Bar,1410 E 6th St Austin TX 78702
117,$11-30,4.5,Meekong Bar,2525 4th Ave Seattle WA 98121
82,Under $10,4.5,Four Brothers,2201 S 1st St Austin TX 78705
716,$11-30,4.0,Roaring Fork,701 Congress Ave Austin TX 78701
107,$11-30,4.0,Culinary Dropout,11721 Rock Rose Austin TX 78758
746,$11-30,4.0,Swift’s Attic,315 Congress Ave Austin TX 78701
73,$11-30,4.5,Flower Child,11721 Rock Rose Ave Austin TX 78758
3172,$11-30,4.5,Franklin Barbecue,900 E 11th St Austin TX 78702
237,$11-30,4.5,Stella San Jac,310 E 5th St Austin TX 78701
497,$31-60,4.5,"Truluck’s Seafood, Steak and Crab House",400 Colorado St Austin TX 78701
1320,Above $61,4.5,Uchiko,4200 N Lamar Blvd Austin TX 78756
31,Under $10,4.5,Lazarus Brewing,1902 E 6th St Austin TX 78702
982,$31-60,4.5,Odd Duck,1201 S Lamar Blvd Austin TX 78704
2378,$11-30,4.0,Moonshine Patio Bar & Grill,303 Red River St Austin TX 78701
624,Under $10,4.5,Hey!... You Gonna Eat or What?,1720 Barton Springs Rd Austin TX 78704
301,$11-30,4.5,True Food Kitchen,222 West Ave Austin TX 78701
41,Under $10,5.0,Brentwood Social House,1601 W Koenig Ln Austin TX 78756
72,$11-30,5.0,Heo Eatery,6214 N Lamar Blvd Austin TX 78752
227,$11-30,5.0,Boteco,1403 E 7th St Austin TX 78702
1569,$11-30,4.5,Salty Sow,1917 Manor Rd Austin TX 78722
191,$11-30,4.5,Super Poké Bros,2752 Aborn Rd San Jose CA 95121
782,$11-30,4.0,Paper Plane,72 S 1st St San Jose CA 95113
151,$11-30,4.5,Ludwigs German Table,261 N 2nd St San Jose CA 95112
71,$11-30,4.5,Kali Noodles and Tea Bar,374 E Santa Clara St San Jose CA 95113
5158,$11-30,4.5,Gen Korean BBQ House,1628 Hostetter Rd San Jose CA 95131
41,$11-30,4.0,Nick the Greek,788 N King Rd San Jose CA 95133
1337,$11-30,4.0,Back A Yard,80 N Market St San Jose CA 95113
136,$11-30,4.5,Our House,185 Park Ave San Jose CA 95113
63,$11-30,4.5,Danbi Korean Restaurant,1092 N 1st St San Jose CA 95112
68,Under $10,5.0,Cubamex,325 S 1st St San Jose CA 95113
111,Under $10,4.5,Biscuit Bitch,621 3rd Ave Seattle WA 98104
628,$11-30,4.0,Contigo,2027 Anchor Ln Austin TX 78723
15,Under $10,4.0,Chi’Lantro,1414 Shore District Dr Austin TX 78741
134,$11-30,4.0,Me Con Bistro,3421 W William Cannon Dr Austin TX 78745
2150,$31-60,4.0,Elliott’s Oyster House,1201 Alaskan Way Seattle WA 98101
298,Above $61,4.0,III Forks,111 Lavaca St Austin TX 78701
485,$11-30,4.0,Tabaré,221 S 1st St Brooklyn NY 11211
187,$31-60,4.5,Cafe Josie,1200 W 6th St Austin TX 78703
747,Above $61,4.0,The River Café,1 Water St Brooklyn NY 11201
757,Under $10,4.0,Mike’s Noodle House,418 Maynard Ave S Seattle WA 98104
35,$11-30,4.5,Baretto,10710 Research Blvd Austin TX 78759
17,Above $61,4.0,Kuneho,1600 E 6th St Austin TX 78702
103,Above $61,4.5,Counter 3. FIVE. VII,315 Congress Ave Austin TX 78701
61,$11-30,4.5,Pokito,155 S 4th St Brooklyn NY 11211
369,$11-30,4.0,La Catalana,3720 N 1st St San Jose CA 95134
215,$11-30,4.0,Reserve a Table,162 5th Ave Brooklyn NY 11217
29,$11-30,4.0,Peaches Shrimp and Crab,285 Grand Ave Brooklyn NY 11238
253,$11-30,4.5,Hudson Eats At Brookfield Place,225 Liberty St New York NY 10281
156,$11-30,4.5,Don Chingon,216 Flatbush Ave Brooklyn NY 11217
2005,Above $61,4.0,Babbo,110 Waverly Pl New York NY 10011
505,$11-30,4.5,Tanner Smiths,204 W 55 St New York NY 10019
1233,$11-30,4.0,Izakaya MEW,53 W 35th St New York NY 10001
2534,$11-30,4.0,Jane,100 W Houston St New York NY 10012
21,$11-30,4.5,NORMA Gastronomia Siciliana,438 3rd Ave New York NY 10016
38,$11-30,4.5,Suspenders,108 Greenwich Street - 2nd New York NY 10006
443,$11-30,4.0,Ichabod’s,15 Irving Pl New York NY 10003
22,$31-60,4.5,Reserve a Table,41-16 Queens Blvd Sunnyside NY 11104
82,Under $10,4.5,Asian Spicy Curry Pop-up,46 Mulberry St New York NY 10013
101,$11-30,4.5,ZuriLee Restaurant,755 Flatbush Ave Brooklyn NY 11226
966,$11-30,4.0,Shanghai Asian Manor,21 Mott St New York NY 10013
130,$11-30,4.5,Wallabout Seafood & Co,271 Adelphi St Brooklyn NY 11205
565,$11-30,4.0,Distilled,211 W Broadway New York NY 10013
367,$11-30,4.5,La  Contenta,102 Norfolk St New York NY 10002
37,$11-30,4.5,Blake Lane,1429 Third Ave New York NY 10028
53,$11-30,4.5,Il Sogno Secondo,310 5th Ave Brooklyn NY 11215
11,Under $10,4.0,Nick the Greek,3129 Meridian Ave San Jose CA 95124
1815,$11-30,4.0,SJ Omogari Korean Restaurant,154 Jackson St San Jose CA 95112
458,$11-30,4.5,Chez Sovan,923 Oakland Rd San Jose CA 95112
51,Under $10,4.0,Nick the Greek,1399 Lincoln Ave San Jose CA 95125
10,,3.5,Homey Skewer,489 Saratoga Ave San Jose CA 95129
273,$11-30,4.0,Enjoy Seoul,979 Story Rd San Jose CA 95122
2165,$11-30,4.0,Pizza Antica,334 Santana Row San Jose CA 95128
27,Under $10,5.0,Genuine Heros,5978 Silver Creek Valley Rd San Jose CA 95138
61,$11-30,4.0,Smoking Pig BBQ,530 Newhall Dr San Jose CA 95110
42,$31-60,4.0,Black Tap Craft Burger & Beers,136 W 55th St New York NY 10019
219,$11-30,4.0,Aunt Jake’s,151 Mulberry Street New York NY 10013
612,$11-30,4.5,Taboonette,30 E 13th St New York NY 10003
671,$11-30,4.0,Bozu,296 Grand St Brooklyn NY 11211
81,$11-30,4.5,Midnights,149 N 6th Street Brooklyn NY 11249
64,$11-30,4.5,Le Pif,465 W 23rd St New York NY 10011
189,$11-30,4.5,Benemon,108 E 4th St New York NY 10003
20,$11-30,4.5,Local & Vine,282 Hudson St New York NY 10013
60,$31-60,4.5,Gentleman Farmer Fort Greene,378 Myrtle Ave Brooklyn NY 11205
39,$11-30,4.5,Organic Choice,385 Kiely Blvd San Jose CA 95129
125,$11-30,4.0,Fish Me Poke,3005 Silver Creek Rd San Jose CA 95121
11,$11-30,3.5,Fish’s Wild,4180 N 1st St San Jose CA 95134
810,$11-30,4.0,Dan Izakaya Restaurant,1306 Saratoga Ave San Jose CA 95129
70,$11-30,4.5,Reserve a Table,398 Saratoga Ave San Jose CA 95129
963,$11-30,4.0,Poki Bowl,4750 Almaden Expy San Jose CA 95118
755,$11-30,4.5,Jubba Restaurant,5330 Terner Way San Jose CA 95136
19,$11-30,3.5,The Kickin’ Crab,1735 E Capitol Expy San Jose CA 95121
264,$11-30,4.5,The Butcher & The Baker,6412 Latona Ave NE Seattle WA 98115
95,$11-30,4.0,The Creek Eatery,5623 Silver Creek Valley Rd San Jose CA 95138
6,Under $10,4.5,Central District Ice Cream Company,2016 E Union St Seattle WA 98122
35,Under $10,4.0,Happiness Noodle & Dumplings,3005 Silver Creek Rd San Jose CA 95121
938,$11-30,4.0,Black Bottle,2600 1st Ave Seattle WA 98121
1181,$11-30,4.5,Salumi Artisan Cured Meats,309 3rd Ave S Seattle WA 98104
215,$11-30,4.0,The Carlile Room,820 Pine St Seattle WA 98101
708,$31-60,4.0,How To Cook a Wolf,2208 Queen Anne Ave N Seattle WA 98109
96,$11-30,4.5,Pokéworks,1200 Third Ave Seattle WA 98101
46,$11-30,4.5,L’estelle House,88 1/2 Rainey St Austin TX 78701
334,$11-30,4.0,Cask & Trotter,711 Westlake Ave Seattle WA 98109
1349,$11-30,4.0,Din Tai Fung,2621 NE 46th St Seattle WA 98105
19,Under $10,4.5,Le’s Deli & Bakery,4219 S Othello St Seattle WA 98118
14,Under $10,4.5,Masala Grill,3595 Ranch Rd 620 S Austin TX 78738
71,Under $10,4.5,Taco Joint,134 E Riverside Dr Austin TX 78704
80,$31-60,4.0,Sophia’s,500 W 6th St Austin TX 78701
393,$11-30,4.5,French Quarter Grille,13000 N Ih 35 Austin TX 78753
984,Under $10,4.0,Gus’s World Famous Fried Chicken,117 San Jacinto Blvd Austin TX 78701
65,$11-30,3.0,Grand Lux Cafe,11506 Century Oaks Ter Austin TX 78758
361,$11-30,4.0,Snooze - An AM Eatery,1700 S Lamar Blvd Austin TX 78704
627,$31-60,4.0,Six Seven,2411 Alaskan Way Seattle WA 98121
141,$11-30,4.0,Blue Dahlia Bistro,3663 Bee Caves Rd Austin TX 78746
96,$11-30,4.5,Stock,500 NW 65th St Seattle WA 98117
648,Above $61,4.0,AQUA by El Gaucho,2801 Alaskan Way Seattle WA 98121
915,$11-30,4.0,Palace Kitchen,2030 5th Ave Seattle WA 98121
1034,$11-30,4.0,Revel,403 N 36th St Seattle WA 98103
26,$11-30,3.5,Ba Bar SLU,500 Terry Ave N Seattle WA 98109
1448,$31-60,4.5,Shiro’s,2401 2nd Ave Seattle WA 98121
52,$11-30,4.5,Delicious,1100 S Lamar Blvd Austin TX 78704
328,$11-30,4.0,Eureka!,200 E 6th St Austin TX 78701
168,Under $10,4.0,Xi’an Noodles,5259 University Way NE Seattle WA 98105
24,$11-30,4.5,Oakwood BBQ,307 E Braker Ln Austin TX 78753
415,$31-60,4.5,Chez Nous,510 Neches St Austin TX 78701
205,$11-30,4.0,The Bonneville,202 W Cesar Chavez St Austin TX 78701
202,$11-30,3.5,NO VA Kitchen & Bar,87 Rainey St Austin TX 78701
88,$11-30,4.0,in.gredients,2610 Manor Rd Austin TX 78722
200,$11-30,4.0,Nomikai,48 S 1st St San Jose CA 95113
18,$11-30,3.0,Hing Lung Chinese Restaurant,1030 Piedmont Rd San Jose CA 95132
984,$11-30,4.0,Kenji Sushi,385 S Winchester Blvd San Jose CA 95128
269,Under $10,3.5,What the Cup,5469 Snell Ave San Jose CA 95123
570,Under $10,4.5,Vn Grill,1085 E Brokaw Rd San Jose CA 95131
65,$11-30,4.0,Mandarin House,1375 Blossom Hill Rd San Jose CA 95118
22,$11-30,4.0,Poki Bowl,5700 Village Oaks Dr San Jose CA 95123
186,Under $10,4.0,Tai Kee Won Ton,2092 Concourse Dr San Jose CA 95131
102,$11-30,4.0,Sanraku,Westfield Oakridge San Jose CA 95123
2482,$11-30,4.0,Hokkaido Ramen Santouka,675 Saratoga Ave San Jose CA 95129
53,$11-30,4.5,Mito Japanese Asian Fusion,64-18 108th St Forest Hills NY 11375
341,$11-30,4.5,Barn Joo 35,34 W 35th St New York NY 10001
1072,$11-30,4.0,La Lanterna di Vittorio,129 MacDougal St New York NY 10012
316,$11-30,4.0,The PokéSpot,120 4th Ave New York NY 10003
134,$11-30,4.5,Rocket Pig,463 W 24th St New York NY 10001
21,Under $10,5.0,Wafa’s,812 Grand St Brooklyn NY 11211
789,$11-30,4.0,Sweet Chick,178 Ludlow St New York NY 10002
1634,$31-60,4.5,Traif,229 S 4th St Brooklyn NY 11211
280,Under $10,4.5,SimpleViet,125 Bernal Rd San Jose CA 95119
88,$11-30,4.0,Thai Love You,6055 Meridian Ave San Jose CA 95120
389,$11-30,4.0,Vito’s Trattoria,90 Skyport Dr San Jose CA 95110
25,Under $10,3.5,The Habit Burger Grill,1078 E Brokaw Rd San Jose CA 95131
148,$11-30,3.5,Olla Cocina,17 N San Pedro St San Jose CA 95110
48,$11-30,4.5,Village Grill,4075 Evergreen Village Sq San Jose CA 95135
53,Under $10,3.5,Town Cafe,301 E Santa Clara St San Jose CA 95113
28,Under $10,3.5,Noodles & Company,5130 Cherry Ave San Jose CA 95118
856,$11-30,4.0,Barolo Ristorante,1940 Westlake Ave Seattle WA 98101
1217,$31-60,4.0,The Walrus and the Carpenter,4743 Ballard Ave NW Seattle WA 98107
22,$11-30,4.0,Mean Sandwich,1510 NW Leary Way Seattle WA 98107
1176,$11-30,4.0,Quinn’s,1001 E Pike St Seattle WA 98122
544,$11-30,4.0,Tasty Pot,1143 Story Rd San Jose CA 95122
41,$11-30,4.5,Hangar Bar & Grill,1471 N 4th St San Jose CA 95112
583,$11-30,4.0,Tsukushinbo,515 S Main St Seattle WA 98104
175,$11-30,4.5,Orfeo,2107 3rd Ave Seattle WA 98121
472,$31-60,4.0,Tulio,1100 5th Ave Seattle WA 98101
15,$11-30,4.5,Katsu Burger,1410 12th Ave Seattle WA 98122
47,$11-30,5.0,Valhalla Sandwiches,8202 Greenwood Ave N Seattle WA 98103
17,Above $61,4.5,Kyōten Sushiko,4600 Mueller Blvd Austin TX 78723
132,$11-30,4.5,Meet the Moon,120 Lakeside Ave Seattle WA 98122
305,$31-60,4.0,Lenoir,1807 S 1st St Austin TX 78704
35,$31-60,4.0,Grizzelda’s,105 Tillery St Austin TX 78702
144,$11-30,4.0,Poke Poke,3100 S Congress Ave Austin TX 78704
1102,Under $10,4.5,Koriente,621 E 7th St Austin TX 78701
30,$11-30,4.0,Thackeray,3400 Stone Way N Seattle WA 98103
61,$11-30,4.5,Aglio e Olio,2743 E Madison St Seattle WA 98112
67,$11-30,4.0,Street,3407 Greystone Dr Austin TX 78731
479,Above $61,4.5,Art of The Table,1054 N 39th St Seattle WA 98103
81,$11-30,4.5,Asadero Ballard,5405 Leary Ave NW Seattle WA 98107
419,Under $10,4.0,Phnom Penh Noodle House,660 S King St Seattle WA 98104
225,$11-30,4.0,The Masonry,20 Roy St Seattle WA 98109
27,$11-30,4.0,Reserve a Table,125 N 36th St Seattle WA 98103
2944,$11-30,4.0,Japonessa,1400 1st Ave Seattle WA 98101
124,$11-30,4.0,Wanderfish Poke,1620 Broadway Seattle WA 98122
309,$11-30,4.0,Little Barrel and Brown,1716 S Congress Ave Austin TX 78704
718,$11-30,4.0,Long Provincial Vietnamese,1901 2nd Ave Seattle WA 98101
115,Under $10,4.0,Modern Market Eatery,9828 Great Hills Trl Austin TX 78759
30,$11-30,3.5,Pappadeaux Seafood Kitchen,11617 Research Blvd Austin TX 78759
24,Under $10,4.5,La Pena,227 Congress Ave Austin TX 78701
548,$31-60,4.0,Nemea Greek Taverna,96 S 1st St San Jose CA 95113
75,$11-30,3.5,Park Station Hashery,1701 Park Ave San Jose CA 95126
238,$11-30,4.5,Independence Fine Foods,1807 W Slaughter Ln Austin TX 78748
33,$11-30,4.5,Tapas Tokki,1998 Homestead Rd Santa Clara CA 95050
113,Under $10,4.0,Social Policy,200 S 1st St San Jose CA 95113
267,$11-30,4.0,Hawaiian Poke Bowl,SoFa Market San Jose CA 95113
244,$11-30,4.0,Oros Thai Restaurant,6177 Santa Teresa Blvd San Jose CA 95123
94,$11-30,4.5,June,231 Court St Brooklyn NY 11201
1114,$31-60,4.0,Perla’s,1400 S Congress Ave Austin TX 78704
26,$11-30,5.0,Santa Panza,1079 Broadway Brooklyn NY 11221
17,$11-30,4.5,Mis Grill,370 5th Ave Brooklyn NY 11215
644,$11-30,4.0,Casa Enrique,5-48 49th Ave Long Island City NY 11101
121,$11-30,4.0,LOCAL Public Eatery,404 Terry Avenue North Seattle WA 98109
139,$11-30,4.5,Scalino,659 Manhattan Ave Brooklyn NY 11222
48,$11-30,4.5,Bocadillo,40 Gold St New York NY 10038
205,$11-30,4.0,Wolf and Deer,74 5th Ave Brooklyn NY 11217
88,$11-30,4.5,Le Fond,105 Norman Ave Brooklyn NY 11222
