,_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_ratingValue,ltable_price_range,ltable_number_of_reviews,rtable_name,rtable_address,rtable_ratingValue,rtable_price_range,rtable_number_of_reviews,gold_labels
91,91,156,579,pike place chowder,1530 Post Aly Seattle WA 98101,4.5,$20,4397,rachel's ginger beer,1530 Post Alley Seattle WA 98101,3.8,$15,24,0
96,96,165,843,swiftâs attic,315 Congress Ave Austin TX 78701,4.0,$20,746,swift's attic,315  Second Floor Congress Avenue Austin TX 78701,3.4,$70,24,1
98,98,168,3080,stella san jac,310 E 5th St Austin TX 78701,4.5,$20,237,stella san jac,The Westin 310 E 5th St Austin TX 78701,3.0,$70,8,1
110,110,179,457,salty sow,1917 Manor Rd Austin TX 78722,4.5,$20,1569,salty sow,1917 Manor Road Austin TX 78722,3.8,$90,25,1
114,114,183,2068,kali noodles and tea bar,374 E Santa Clara St San Jose CA 95113,4.5,$20,71,nick's,354 E Santa Clara St San Jose CA 95113,2.9,$13,1,0
118,118,194,247,elliottâs oyster house,1201 Alaskan Way Seattle WA 98101,4.0,$45,2150,elliott's oyster house,Pier 56 1201 Alaskan Way Seattle WA 98101,4.1,$110,86,1
129,129,200,1974,baretto,10710 Research Blvd Austin TX 78759,4.5,$20,35,brio tuscan grille,10000 Research Blvd Austin TX 78759,3.2,$70,9,0
133,133,204,2041,la catalana,3720 N 1st St San Jose CA 95134,4.0,$20,369,la catalana,3720 N 1st St Suite A San Jose CA 95134,3.3,$90,1,1
134,134,204,2370,la catalana,3720 N 1st St San Jose CA 95134,4.0,$20,369,the castle,3730 N 1st St San Jose CA 95134,3.0,$30,1,0
143,143,219,785,shanghai asian manor,21 Mott St New York NY 10013,4.0,$20,966,peking duck house,28 Mott St New York NY 10013,4.0,$50,30,0
146,146,221,2226,distilled,211 W Broadway New York NY 10013,4.0,$20,565,pepolino ristorante,281 W Broadway New York NY 10013,4.1,$80,19,0
156,156,245,2377,fishâs wild,4180 N 1st St San Jose CA 95134,3.5,$20,11,rok steakhouse,4130 N 1st St San Jose CA 95134,2.6,$30,1,0
158,158,256,69,salumi artisan cured meats,309 3rd Ave S Seattle WA 98104,4.5,$20,1181,salumi,309 3rd Avenue S Seattle WA 98104,4.5,$40,88,1
166,166,268,1632,gusâs world famous fried chicken,117 San Jacinto Blvd Austin TX 78701,4.0,$5,984,the backspace,507 San Jacinto Blvd Austin TX 78701,3.6,$75,15,0
186,186,289,352,kenji sushi,385 S Winchester Blvd San Jose CA 95128,4.0,$20,984,kenji sushi,385 South Winchester Blvd San Jose CA 95128,2.9,$45,2,1
191,191,296,1056,hokkaido ramen santouka,675 Saratoga Ave San Jose CA 95129,4.0,$20,2482,mitsuwa marketplace,675 Saratoga Ave San Jose CA 95129,3.6,$65,1,0
192,192,296,2242,hokkaido ramen santouka,675 Saratoga Ave San Jose CA 95129,4.0,$20,2482,j sweet,675 Saratoga Avenue San Jose CA 95129,2.9,$13,1,0
198,198,303,1582,sweet chick,178 Ludlow St New York NY 10002,4.0,$20,789,il laboratorio del gelato,188 Ludlow St New York NY 10002,4.0,$25,30,0
200,200,305,1658,simpleviet,125 Bernal Rd San Jose CA 95119,4.5,$5,280,regal bagels,125 Bernal Road San Jose CA 95119,3.6,$43,2,0
206,206,311,977,town cafe,301 E Santa Clara St San Jose CA 95113,3.5,$5,53,curry pundits,30 E Santa Clara St San Jose CA 95113,-,$40,1,0
208,208,313,376,barolo ristorante,1940 Westlake Ave Seattle WA 98101,4.0,$20,856,tulio ristorante,Hotel Vintage 1100 5th Avenue Seattle WA 98101,3.8,$90,41,0
212,212,316,701,quinnâs,1001 E Pike St Seattle WA 98122,4.0,$20,1176,poquitos,1000 E Pike St Seattle WA 98122,3.6,$50,36,0
217,217,329,821,koriente,621 E 7th St Austin TX 78701,4.5,$5,1102,koriente,621 E 7th St Austin TX 78701,3.8,$35,21,1
223,223,336,1556,the masonry,20 Roy St Seattle WA 98109,4.0,$20,225,mcmenamins,200 Roy St Seattle WA 98109,3.4,$40,19,0
229,229,343,2781,pappadeaux seafood kitchen,11617 Research Blvd Austin TX 78759,3.5,$20,30,outback steakhouse,11600 Research Blvd Austin TX 78759,3.1,$60,4,0
237,237,366,548,raku,342 E 6th St New York NY 10003,4.5,$20,350,veniero's pasticceria & caffe,342 E 11th St New York NY 10003,4.3,$20,33,0
239,239,367,1314,locanda verde,377 Greenwich St New York NY 10013,4.0,$45,1288,locanda verde,377 Greenwich St New York NY 10013,4.4,$100,76,1
246,246,373,3134,abc kitchen,35 E 18th St New York NY 10003,4.0,$45,2326,tarallucci e vino,15 E 18th St New York NY 10003,3.7,$40,13,0
249,249,377,1850,trace,200 Lavaca St Austin TX 78701,4.0,$45,324,trace,200 Lavaca St Austin TX 78701,3.3,$90,11,1
250,250,378,509,vespaio ristorante,1610 South Congress Ave Austin TX 78704,4.0,$45,423,vespaio ristorante,1610 S Congress Avenue Austin TX 78704,3.9,$40,26,1
252,252,382,1766,yummy space,12534 Lake City Way NE Seattle WA 98125,5.0,$20,9,toyoda sushi,12543 Lake City Way NE Seattle WA 98125,4.1,$55,12,0
256,256,386,1703,kedai makan,1802 Bellevue Ave Seattle WA 98122,4.0,$20,196,kedai makan,1802 Bellevue Avenue Seattle WA 98122,3.6,$25,15,1
265,265,400,2442,green leaf vietnamese ,2800 1st Ave Seattle WA 98121,4.0,$20,405,green leaf vietnamese,2800 1st Avenue WA 98121,3.5,$30,12,1
274,274,407,310,chili boy,505 E Santa Clara St San Jose CA 95112,4.0,$20,13,vung tau,535 E Santa Clara St San Jose CA 95112,3.8,$45,11,0
276,276,410,1669,fuji huoshao & dumpling,6184 Bollinger Rd San Jose CA 95129,4.0,$20,169,fuji huoshao & dumpling,Orchard Farm Center 6184 Bollinger Road San Jose CA 95129,3.4,$45,1,1
296,296,442,854,jeffreyâs,1204 W Lynn St Austin TX 78703,4.0,$91,172,jeffrey's,1204 West Lynn St Austin TX 78703,3.6,$200,20,1
300,300,449,1790,reserve a table,611 E Pine St Seattle WA 98122,4.5,$20,345,stumptown coffee roasters,616 E Pine St Seattle WA 98122,3.6,$25,14,0
308,308,455,295,roots and rye,Santana Row San Jose CA 95128,3.5,$20,395,consuelo,377 Santana Row San Jose CA 95128,3.2,$120,9,0
319,319,469,1019,by chloe,240 Lafayette St New York NY 10012,4.5,$20,23,ed's lobster bar,222 Lafayette St New York NY 10012,4.0,$90,35,0
323,323,470,538,the little owl,90 Bedford St New York NY 10014,4.0,$45,1116,the little owl,90 Bedford St New York NY 10014,4.4,$100,48,1
339,339,493,1658,nick the greek,125 Bernal Rd San Jose CA 95119,4.0,$20,60,regal bagels,125 Bernal Road San Jose CA 95119,3.6,$43,2,0
349,349,519,2160,nick the greek,143 W Santa Clara St San Jose CA 95113,4.0,$5,499,dac phuc,198 W Santa Clara St San Jose CA 95113,2.8,$35,2,0
352,352,528,794,woorijip authentic korean food,12 W 32nd St New York NY 10001,4.0,$5,2103,mandoo bar,2 W 32nd St New York NY 10001,4.1,$30,28,0
358,358,532,2302,root and bone,200 E 3rd St New York NY 10009,4.0,$20,945,root & bone,200 E 3rd St New York NY 10009,3.2,$60,16,1
359,359,534,174,joeâs shanghai,9 Pell St New York NY 10013,4.0,$20,4207,joe's shanghai,9 Pell St New York NY 10013,4.4,$30,74,1
373,373,551,1889,fixe austinâs southern house,500 W 5th St Austin TX 78701,4.0,$45,354,fixe,500 W 5th St Austin TX 78701,3.0,$75,4,1
376,376,552,1667,boiling point,1698 Hostetter Rd San Jose CA 95131,3.0,$20,96,do re mi,1698 Hostetter Road San Jose CA 95131,3.5,$30,1,0
381,381,556,578,souvlakiâs greek skewers,577 W Alma Ave San Jose CA 95125,4.5,$5,658,souvlaki greek skewers,577 W Alma Avenue San Jose CA 95125,3.9,$25,3,1
398,398,584,1335,st. clouds,1131 34th Ave Seattle WA 98122,4.0,$20,265,st. clouds,1131 34th Avenue Madrona/Leschi Seattle WA 98122,4.0,$50,16,1
402,402,590,1276,reserve a table,1359 Lincoln Ave San Jose CA 95125,4.0,$20,369,siena bistro,1359 Lincoln Avenue San Jose CA 95125,3.5,$90,1,0
406,406,594,371,reserve a table,185 Park Ave San Jose CA 95113,3.5,$45,600,scott's seafood,185 Park Avenue San Jose CA 95113,3.5,$13,4,0
420,420,621,235,barnacle,4743 Ballard Ave NW Seattle WA 98107,4.5,$20,85,the walrus and the carpenter,4743 Ballard Avenue NW Seattle WA 98107,4.4,$60,87,0
423,423,624,111,golden garlic,1530 S De Anza Blvd San Jose CA 95129,4.0,$20,88,layang layang,1480 S De Anza Blvd San Jose CA 95129,4.5,$40,5,0
433,433,635,1644,olive & june,3411 Glenview Ave Austin TX 78703,4.0,$45,423,olive and june,3411 Glenview Avenue Austin TX 78703,3.4,$85,14,1
434,434,640,628,lecÅsho,89 University St Seattle WA 98101,4.0,$20,553,lecosho,89 University St Seattle WA 98101,4.0,$80,69,1
435,435,641,1524,the london plane,300 Occidental Ave S Seattle WA 98104,4.0,$20,287,the london plane,300 Occidental Avenue South Seattle WA 98104,3.5,$35,16,1
443,443,653,298,la foret,21747 Bertram Rd San Jose CA 95120,4.0,$91,404,la foret,21747 Bertram Road San Jose CA 95120,4.2,$40,4,1
447,447,662,907,andiamo ristorante,2521 Rutland Dr Austin TX 78758,4.0,$45,316,andiamo ristorante,2521 Rutland Drive Austin TX 78758,3.7,$120,18,1
448,448,663,1926,kau kau barbeque market,656 S King St Seattle WA 98104,4.0,$5,691,kau kau barbeque market,656 South King St Seattle WA 98104,3.6,$55,22,1
452,452,671,337,evangeline cafÃ©,8106 Brodie Ln Austin TX 78745,4.0,$20,541,evangeline cafe,8106 Brodie Lane Austin TX 78745,4.4,$40,38,1
457,457,674,949,carmineâs theater district,200 W 44th St New York NY 10036,4.0,$20,2286,guy's american kitchen & bar,220 W 44th St New York NY 10036,3.2,$125,55,0
458,458,679,1205,le bon de cuisine,5592 Santa Teresa Blvd San Jose CA 95123,4.0,$5,661,le bon de cuisine,5592 Santa Teresa Blvd San Jose CA 95123,2.9,$30,2,1
465,465,691,1784,kauai family ,6324 6th Ave S Seattle WA 98108,4.0,$5,345,kauai family ,6324 6th Avenue South Seattle WA 98108,3.9,$25,16,1
474,474,704,1364,hula hut,3826 Lake Austin Blvd Austin TX 78703,3.5,$20,1046,abel's on the lake,3825 Lake Austin Blvd Austin TX 78703,3.6,$70,31,0
476,476,708,864,the backspace,507 San Jacinto St Austin TX 78701,4.0,$20,528,the jackalope,404 E 6th St Austin TX 78701,3.6,$40,29,0
486,486,727,1019,jackâs wife freda,224 Lafayette St New York NY 10012,4.0,$20,1079,ed's lobster bar,222 Lafayette St New York NY 10012,4.0,$90,35,0
487,487,727,1227,jackâs wife freda,224 Lafayette St New York NY 10012,4.0,$20,1079,jack's wife freda,224 Lafayette St New York NY 10012,4.0,$60,28,1
488,488,727,1243,jackâs wife freda,224 Lafayette St New York NY 10012,4.0,$20,1079,morini osteria,218 Lafayette St New York NY 10012,3.9,$120,28,0
501,501,741,2261,thalassa ,179 Franklin St New York NY 10013,4.0,$45,269,thalassa,179 Franklin St New York NY 10013,3.7,$120,36,1
512,512,753,1163,hotpot first shabu,171 Jackson St San Jose CA 95112,4.0,$20,124,shaburi,171 Jackson St San Jose CA 95112,3.7,$15,2,0
525,525,773,2748,uchi,801 S Lamar Blvd Austin TX 78704,4.5,$91,1721,broken spoke,3201 S Lamar Blvd Austin TX 78704,3.1,$50,6,0
538,538,792,251,tamarind tree,1036 S Jackson St Seattle WA 98104,4.0,$20,1040,tamarind tree,1036 South Jackson St Suite A Seattle WA 98104,4.2,$35,61,1
543,543,798,104,left bank - san jose,377 Santana Row San Jose CA 95128,3.0,$20,1540,village california,378 Santana Row San Jose CA 95128,3.9,$35,11,0
546,546,798,1045,left bank - san jose,377 Santana Row San Jose CA 95128,3.0,$20,1540,fantasia,378 Santana Row San Jose CA 95128,3.4,$15,1,0
555,555,806,1044,tomato thyme-willow glen,1560 Hamilton Ave San Jose CA 95125,3.5,$20,492,tomato thyme,1560 Hamilton Avenue San Jose CA 95125,3.8,$40,3,1
556,556,809,2664,el ranchon,3416 W McGraw St Seattle WA 98199,4.0,$20,103,el ranchon,3416 West McGraw St Seattle WA 98199,4.0,$30,10,1
557,557,810,794,jongro bbq,22 W 32nd St New York NY 10001,4.0,$20,669,mandoo bar,2 W 32nd St New York NY 10001,4.1,$30,28,0
574,574,830,89,fogo de chÃ£o brazilian steakhouse,377 Santana Row San Jose CA 95128,3.5,$45,1082,sino restaurant and lounge,377 Santana Row San Jose CA 95128,3.6,$40,12,0
576,576,830,295,fogo de chÃ£o brazilian steakhouse,377 Santana Row San Jose CA 95128,3.5,$45,1082,consuelo,377 Santana Row San Jose CA 95128,3.2,$120,9,0
584,584,837,1327,fette sau,354 Metropolitan Ave Brooklyn NY 11211,4.0,$20,1963,fette sau,354 Metropolitan Avenue Brooklyn NY 11211,4.5,$75,44,1
593,593,860,367,gojo ethiopian ,1261 W San Carlos St San Jose CA 95126,4.0,$20,402,gojo ethiopian,1261 W San Carlos St San Jose CA 95126,3.5,$80,7,1
596,596,862,2450,pestle rock,2305 NW Market St Seattle WA 98107,4.5,$20,455,pestle rock isan thai cuisine,2305 NW Market St Seattle WA 98107,3.6,$60,14,1
597,597,862,3120,pestle rock,2305 NW Market St Seattle WA 98107,4.5,$20,455,palermo,2005 NW Market St Seattle WA 98107,3.3,$40,11,0
598,598,864,610,mamnoon,1508 Melrose Ave Seattle WA 98122,4.0,$20,576,mamnoon,1508 Melrose Avenue Seattle WA 98122,4.0,$50,37,1
603,603,867,2893,mo & lu pasta,12518 Lake City Way NE Seattle WA 98125,4.5,$5,127,breakfast club,12306 Lake City Way NE Seattle WA 98125,3.2,$30,15,0
608,608,880,388,cactus restaurants,2820 Alki Ave SW Seattle WA 98116,4.0,$20,551,cactus,2820 Alki Avenue SW Seattle WA 98116,4.0,$40,31,0
613,613,886,895,momiji,1522 12th Ave Seattle WA 98122,4.0,$20,862,momiji,1522 12th Avenue Seattle WA 98122,3.8,$70,18,1
624,624,892,1977,the jackalope,404 E 6th St Austin TX 78701,4.0,$5,741,old school bar & grill,401 E 6th St Austin TX 78701,3.6,$20,20,0
630,630,899,1275,golden house chinese ,7108 Santa Teresa Blvd San Jose CA 95139,4.0,$5,352,sushi boat town,7130 Santa Teresa Blvd San Jose CA 95139,3.7,$43,4,0
632,632,900,2578,great wall chinese ,1409 Bird Ave San Jose CA 95125,4.0,$20,160,great wall chinese,1409 Bird Avenue San Jose CA 95125,3.4,$80,1,1
639,639,911,1391,pike place chowder,600 Pine St Seattle WA 98101,4.0,$20,543,pike place chowder,Pacific Place Level 4 600 Pine St Seattle WA 98101,3.6,$25,28,1
644,644,924,2180,javelina,69 Rainey St Austin TX 78701,3.5,$20,209,via 313,61 Rainey St Austin TX 78701,3.6,$30,8,0
648,648,935,2060,caffe frascati,315 S 1st St San Jose CA 95113,4.0,$5,421,caffe frascati,315 S First St San Jose CA 95113,3.1,$40,1,1
656,656,943,2989,turf n surf poâ boy,407 Lavaca St Austin TX 78701,4.5,$20,837,lavaca street bar,405 Lavaca St Austin TX 78701,3.1,$60,7,0
659,659,945,1534,bouldin creek cafe,1900 S 1st St Austin TX 78704,4.5,$5,1422,sugar mama's bakeshop,1905 S 1st St Austin TX 78704,3.6,$15,18,0
674,674,960,636,smith,332 15th Ave E Seattle WA 98112,4.0,$20,669,smith,332 15th Avenue East Seattle WA 98112,3.9,$60,23,1
676,676,965,3130,coppelia,207 W 14th St New York NY 10011,4.0,$20,880,coppelia,207 Between 7th & 8th Avenue W 14th St New York NY 10011,3.9,$70,18,1
691,691,984,1221,en japanese brasserie,435 Hudson St New York NY 10014,4.0,$45,1051,en japanese brasserie,435 Hudson St New York NY 10014,3.9,$150,18,1
717,717,1026,1892,frank,407 Colorado St Austin TX 78701,4.0,$20,1639,tenoak,409 Colorado St Austin TX 78701,3.0,$35,14,0
723,723,1047,662,trattoria trecolori,254 W 47th St New York NY 10036,4.0,$20,1405,trattoria trecolori,254 W 47th St New York NY 10036,4.3,$60,49,1
727,727,1052,3105,u:don,4515 University Way NE Seattle WA 98105,4.0,$5,487,garam masala,4537 University Way NE Seattle WA 98105,3.5,$30,15,0
733,733,1059,1839,clarkâs oyster bar,1200 W 6th St Austin TX 78703,4.0,$45,349,cafe josie,1200 W 6th St Austin TX 78703,3.5,$100,10,0
746,746,1079,14,lb steak,334 Santana Row San Jose CA 95128,3.5,$45,1249,pizza antica,334 Santana Row San Jose CA 95128,4.2,$45,11,0
751,751,1084,367,mudai ethiopian ,503 W San Carlos St San Jose CA 95126,4.0,$20,294,gojo ethiopian,1261 W San Carlos St San Jose CA 95126,3.5,$80,7,0
755,755,1090,1179,vyne bistro,110 Paseo De San Antonio San Jose CA 95112,4.0,$20,208,vyne bistro,110 Paseo De San Antonio Walk San Jose CA 95112,2.7,$25,1,1
756,756,1090,1181,vyne bistro,110 Paseo De San Antonio San Jose CA 95112,4.0,$20,208,tengu sushi,111 Paseo De San Antonio San Jose CA 95112,2.8,$25,1,0
761,761,1098,2769,slab bbq & beer,9012 Research Blvd Austin TX 78758,4.5,$5,404,sherlock's baker st. pub & grill,9012 Research Blvd Austin TX 78758,3.1,$40,4,0
763,763,1102,860,gourdoughâs public house,2700 S Lamar Blvd Austin TX 78704,4.0,$20,823,gourdough's public house,2700 S Lamar Blvd Austin TX 78704,3.7,$40,18,1
766,766,1105,383,dahlia lounge,2001 4th Ave Seattle WA 98121,4.0,$45,1262,dahlia bakery,2001 4th Avenue Seattle WA 98121,3.9,$15,39,1
770,770,1113,1413,bistro turkuaz,1114 34th Ave Seattle WA 98122,4.0,$20,93,bistro turkuaz,1114 34th Avenue Seattle WA 98122,3.8,$50,35,1
771,771,1114,277,la rustica,4100 Beach Dr SW Seattle WA 98116,4.0,$45,288,la rustica,4100 Beach Drive SW Seattle WA 98116,4.3,$40,32,1
774,774,1118,2745,the grip coffee,5000 Burnet Rd Austin TX 78756,5.0,$5,8,thunderbird coffee,1401 Koenig Lane TX 78756,3.1,$25,9,0
775,775,1124,1374,driskill bar,604 Brazos St Austin TX 78701,4.0,$20,263,the driskill grill - the driskill,604 Brazos St Austin TX 78701,3.7,$175,17,1
790,790,1153,2310,the farm on adderley,1108 Cortelyou Rd Brooklyn NY 11218,4.0,$20,926,the farm on adderley,1108 Cortelyou Road Brooklyn NY 11218,4.3,$50,16,1
792,792,1155,237,the harvest vine,2701 E Madison St Seattle WA 98112,4.5,$45,483,the harvest vine,2701 East Madison St Seattle WA 98112,4.8,$75,61,1
801,801,1176,104,reserve a table,378 Santana Row San Jose CA 95128,3.0,$20,1183,village california,378 Santana Row San Jose CA 95128,3.9,$35,11,0
804,804,1176,756,reserve a table,378 Santana Row San Jose CA 95128,3.0,$20,1183,el jardin tequila bar,368 Santana Row San Jose CA 95128,3.2,$80,7,0
812,812,1184,2639,bombay grill indian ,3201 Bee Caves Rd Austin TX 78746,3.5,$20,128,bombay grill indian ,3201 Bee Cave Road Suite 148 Austin TX 78746,3.5,$45,10,1
818,818,1191,2861,joey kitchen,University Village 2603 NE 46th St Seattle WA 98105,3.5,$20,324,joey,University Village 2603 NE 46th St Seattle WA 98105,3.2,$40,5,1
828,828,1209,1328,hudson,5000 E Marginal Way S Seattle WA 98134,4.0,$20,328,hudson,5000 East Marginal Way S Seattle WA 98134,3.9,$75,27,1
829,829,1211,647,xiâan famous foods,67 Bayard St New York NY 10013,4.0,$5,683,chinatown ice cream factory,65 Bayard St New York NY 10013,4.4,$20,36,0
830,830,1215,2430,mioposto,3601 S McClellan St Seattle WA 98144,4.0,$20,199,mioposto,3601 South McClellan St Seattle WA 98144,3.8,$50,10,1
832,832,1220,264,julieâs garden,81 Yesler Way Seattle WA 98104,4.0,$5,149,jade garden,424 7th Avenue South International District Seattle WA 98104,4.1,$35,73,0
835,835,1222,175,mighty bowl,120 Macdougal St New York NY 10012,4.5,$5,103,pommes frites,128 Macdougal St New York NY 10012,4.8,$35,85,0
840,840,1231,419,kaita ,215 Jackson St San Jose CA 95112,4.0,$20,460,kumako,211 Jackson St San Jose CA 95112,3.7,$35,7,0
841,841,1231,752,kaita ,215 Jackson St San Jose CA 95112,4.0,$20,460,kaita,215 Jackson St San Jose CA 95112,3.3,$30,2,1
842,842,1231,1434,kaita ,215 Jackson St San Jose CA 95112,4.0,$20,460,shuei-do manju shop,217 Jackson St San Jose CA 95112,3.2,$30,3,0
845,845,1234,3067,hillside farmacy,1209 E 11th St Austin TX 78702,3.5,$20,594,the hightower,1209 E 7th St Austin TX 78702,3.1,$55,7,0
855,855,1249,1058,banana crÃªpe,248 Jackson St San Jose CA 95112,4.0,$5,816,banana crepe,248 Jackson St San Jose CA 95112,3.4,$35,3,1
862,862,1261,560,blueacre seafood,1700 7th Ave Seattle WA 98101,4.0,$45,775,blueacre seafood,1700 7th Avenue Suite 100 Seattle WA 98101,3.7,$95,73,1
873,873,1275,978,the happy hooligans,1711 Branham Ln San Jose CA 95118,4.0,$20,573,sushi mania,1711 Branham Lane San Jose CA 95118,3.3,$40,3,0
881,881,1283,2571,bray butcher block and bistro,100 N Almaden Rd San Jose CA 95110,4.0,$20,253,bray butcher block and bistro,San Pedro Square Market 100 N Almaden Avenue Suite 182 San Jose CA 95110,-,$35,1,1
889,889,1306,2321,reserve a table,43 W 46th St New York NY 10036,4.0,$20,707,ceci italian ,46 W 46th St New York NY 10036,3.8,$50,24,0
892,892,1312,2825,annisa,13 Barrow St New York NY 10014,4.5,$91,510,annisa,13 Barrow St New York NY 10014,3.8,$150,14,1
895,895,1326,2205,may kaidee nyc,126 E 28th St New York NY 10016,4.0,$20,13,tiffin wallah,127 E 28th St New York NY 10016,3.9,$25,15,0
905,905,1351,747,veggie grill,3055 Olin Ave San Jose CA 95128,4.0,$20,864,veggie grill,Santana Row 3055 Olin Avenue Suite 1030 San Jose CA 95128,3.4,$80,3,1
907,907,1353,2653,cafe stritch,374 S 1st St San Jose CA 95113,3.5,$20,380,cafe stritch,374 S 1st St San Jose CA 95113,3.0,$35,1,1
915,915,1365,862,vino vino,4119 Guadalupe St Austin TX 78751,4.0,$20,436,vino vino,4119 Guadalupe Steet Austin TX 78751,3.8,$60,14,1
916,916,1367,599,chao chi,1657 N Capitol Ave San Jose CA 95132,4.0,$5,261,chao chi,1657 N Capitol Avenue San Jose CA 95132,3.5,$15,3,1
918,918,1371,2025,punjab cafe,322 E Santa Clara St San Jose CA 95113,4.0,$5,655,muchos,72 E Santa Clara St San Jose CA 95113,3.3,$25,3,0
919,919,1371,2068,punjab cafe,322 E Santa Clara St San Jose CA 95113,4.0,$5,655,nick's,354 E Santa Clara St San Jose CA 95113,2.9,$13,1,0
921,921,1376,625,ocho,2325 NW Market St Seattle WA 98107,4.0,$20,507,ocho,2325 NW Market St Seattle WA 98107,4.2,$40,40,1
924,924,1376,2593,ocho,2325 NW Market St Seattle WA 98107,4.0,$20,507,brimmer & heeltap,425 NW Market St Seattle WA 98107,3.3,$55,13,0
925,925,1377,882,citizen,706 Taylor Ave N Seattle WA 98109,4.0,$20,671,citizen,706 Taylor Avenue North Seattle WA 98109,3.9,$25,26,1
927,927,1380,3105,shawarma king,4337 University Way NE Seattle WA 98105,4.5,$5,91,garam masala,4537 University Way NE Seattle WA 98105,3.5,$30,15,0
932,932,1389,195,miss paradis,47 Prince St New York NY 10012,4.0,$45,15,caf habana,17 Prince St New York NY 10012,4.7,$45,71,0
939,939,1398,344,cypress grill,4404 W William Cannon Dr Austin TX 78749,4.0,$20,405,cypress grill,4404 W William Cannon Drive Suite L Austin TX 78749,3.9,$50,25,1
947,947,1406,301,hukilau,230 Jackson St San Jose CA 95112,3.5,$20,983,hukilau,230 Jackson St San Jose CA 95112,4.0,$43,7,1
957,957,1417,710,cicchetti,121 E Boston St Seattle WA 98102,4.0,$20,262,cicchetti,121 E Boston St Seattle WA 98102,3.8,$50,31,1
958,958,1421,1304,pig and khao,68 Clinton St New York NY 10002,4.0,$20,928,clinton street baking company,4 Clinton St New York NY 10002,4.3,$70,83,0
966,966,1439,1723,yummy thai food,75 Rainey St Austin TX 78701,4.0,$20,13,el naranjo,85 Rainey St Austin TX 78701,3.6,$100,13,0
968,968,1441,44,north by northwest restaurant & brewery,10010 N Capital Of Texas Hwy Austin TX 78759,3.5,$20,719,north by northwest restaurant and brewery,10010 N Capital of Texas Hwy Austin TX 78759,4.0,$70,45,1
971,971,1444,3041,angelouâs mexican grill,21 N 2nd St San Jose CA 95113,4.0,$5,530,el agave mexican grill,17 S 4th St San Jose CA 95113,-,$30,1,0
972,972,1448,107,cafe eden,2 N 1st St San Jose CA 95113,4.5,$20,183,teske's germania,255 N 1st St San Jose CA 95113,4.1,$40,5,0
985,985,1466,1011,five senses,9 W 32nd St New York NY 10001,4.0,$20,552,the kunjip,32 W 32nd St New York NY 10001,3.8,$80,23,0
