,_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_ratingValue,ltable_price_range,ltable_number_of_reviews,rtable_name,rtable_address,rtable_ratingValue,rtable_price_range,rtable_number_of_reviews
29,29,70,837,red ash,303 Colorado St Austin TX 78701,4.5,$45,51,sullivan's steakhouse,300 Colorado St Austin TX 78701,3.6,$150,21
30,30,71,2332,reserve a table,14 Christopher St New York NY 10014,4.5,$20,635,havana alma de cuba,94 Christopher St New York NY 10014,3.8,$75,21
31,31,71,3135,reserve a table,14 Christopher St New York NY 10014,4.5,$20,635,i sodi,105 Christopher St New York NY 10014,3.7,$120,7
32,32,82,1474,2nd city,525 Hudson St New York NY 10014,4.5,$20,260,redfarm,529 Hudson St New York NY 10014,3.9,$70,27
33,33,83,173,the wild son,53 Little W 12th St New York NY 10014,4.5,$20,72,bagatelle,1 Little W 12th St New York NY 10014,4.0,$120,97
34,34,85,70,toulouse petit,601 Queen Anne Ave N Seattle WA 98109,4.0,$20,2797,toulouse petit,601 Queen Anne Avenue N Queen Anne: Lower Seattle WA 98109,4.7,$80,214
35,35,88,58,piroshky piroshky,1908 Pike Pl Seattle WA 98101,4.5,$5,3994,piroshky piroshky,Pike Place Market 1908 Pike Place Seattle WA 98101,4.3,$15,120
36,36,90,635,biscuit bitch,1909 1st Ave Seattle WA 98101,4.0,$5,1622,biscuit bitch,1909 1st Avenue Seattle WA 98101,3.6,$25,36
37,37,91,757,reserve a table,15005 Mount Hamilton Rd San Jose CA 95140,4.0,$45,390,grandview,15005 Mount Hamilton Road San Jose CA 95140,3.4,$65,1
38,38,92,73,lola,2000 4th Ave Seattle WA 98121,4.0,$20,2763,lola,Hotel Andra 2000 4th Avenue Seattle WA 98121,4.2,$70,147
39,39,93,978,sushi jae,4710 Meridian Ave San Jose CA 95118,4.0,$20,76,sushi mania,1711 Branham Lane San Jose CA 95118,3.3,$40,3
40,40,94,1427,bob korean bbq,4320 Moorpark Ave San Jose CA 95129,4.5,$20,23,hana,4320 Moorpark Avenue San Jose CA 95129,3.2,$30,2
41,41,95,582,the city fish,30 E Santa Clara St San Jose CA 95113,4.5,$5,581,the pita pit,151 S. Second St Suite 185 San Jose CA 95113,3.7,$20,1
42,42,95,977,the city fish,30 E Santa Clara St San Jose CA 95113,4.5,$5,581,curry pundits,30 E Santa Clara St San Jose CA 95113,-,$40,1
43,43,95,1191,the city fish,30 E Santa Clara St San Jose CA 95113,4.5,$5,581,the city fish,30 East Santa Clara St San Jose CA 95113,2.9,$25,3
44,44,95,2025,the city fish,30 E Santa Clara St San Jose CA 95113,4.5,$5,581,muchos,72 E Santa Clara St San Jose CA 95113,3.3,$25,3
45,45,95,2068,the city fish,30 E Santa Clara St San Jose CA 95113,4.5,$5,581,nick's,354 E Santa Clara St San Jose CA 95113,2.9,$13,1
46,46,95,2568,the city fish,30 E Santa Clara St San Jose CA 95113,4.5,$5,581,bakery mexico,87 E Santa Clara St San Jose CA 95113,3.1,$20,1
47,47,95,3090,the city fish,30 E Santa Clara St San Jose CA 95113,4.5,$5,581,dive bar,78 E Santa Clara St San Jose CA 95113,-,$25,1
48,48,96,1654,bonchon,1375 Blossom Hill Rd San Jose CA 95118,4.0,$20,263,cup n saucer family,1375 Blossom Hill Road San Jose CA 95118,3.5,$40,2
49,49,96,2375,bonchon,1375 Blossom Hill Rd San Jose CA 95118,4.0,$20,263,senor taco,1375 Blossom Hill Road San Jose CA 95118,3.9,$35,2
50,50,97,1056,demiya,375 Saratoga Ave San Jose CA 95129,4.5,$20,47,mitsuwa marketplace,675 Saratoga Ave San Jose CA 95129,3.6,$65,1
51,51,101,130,enoteca vespaio,1610 S Congress Ave Austin TX 78704,4.0,$20,612,enoteca vespaio,1610 S Congress Avenue Austin TX 78704,4.3,$70,58
52,52,101,509,enoteca vespaio,1610 S Congress Ave Austin TX 78704,4.0,$20,612,vespaio ristorante,1610 S Congress Avenue Austin TX 78704,3.9,$40,26
53,53,102,2729,li’l nonna’s,1505 Town Creek Dr Austin TX 78741,5.0,$20,16,buzzmill coffee,1505 Town Creek Drive Austin TX 78741,3.2,$25,4
54,54,103,433,coast bar & kitchen,360 Nueces St Austin TX 78701,4.5,$20,37,second bar + kitchen,200 Congress Avenue Austin TX 78701,3.9,$90,42
55,55,104,919,the hightower,1209 E 7th St Austin TX 78702,4.5,$20,370,hillside farmacy,1209 E 11th St Austin TX 78702,3.4,$45,20
56,56,104,3067,the hightower,1209 E 7th St Austin TX 78702,4.5,$20,370,the hightower,1209 E 7th St Austin TX 78702,3.1,$55,7
57,57,105,1098,reserve a table,2115 Holly St Austin TX 78702,4.0,$20,468,launderette,2115 Holly St Austin TX 78702,3.1,$60,10
58,58,107,2035,hometown noodle,3617 Union Ave San Jose CA 95124,4.0,$20,140,hometown buffet,3085 Meridian Avenue San Jose CA 95124,2.0,$25,3
59,59,107,2721,hometown noodle,3617 Union Ave San Jose CA 95124,4.0,$20,140,my happy kitchen,3617 Union Avenue San Jose CA 95124,2.9,$25,1
60,60,108,1276,odenyaki bistro,71 Curtner Ave San Jose CA 95125,4.0,$20,120,siena bistro,1359 Lincoln Avenue San Jose CA 95125,3.5,$90,1
61,61,111,1056,bar bay grill,375 Saratoga Ave San Jose CA 95129,4.0,$20,103,mitsuwa marketplace,675 Saratoga Ave San Jose CA 95129,3.6,$65,1
62,62,112,1202,poke house,1698 Hostetter Rd San Jose CA 95131,4.0,$20,579,hello desserts!,1698 Hostetter Road San Jose CA 95131,3.7,$40,2
63,63,112,1667,poke house,1698 Hostetter Rd San Jose CA 95131,4.0,$20,579,do re mi,1698 Hostetter Road San Jose CA 95131,3.5,$30,1
64,64,112,1861,poke house,1698 Hostetter Rd San Jose CA 95131,4.0,$20,579,goldilocks,1698 Hostetter Road San Jose CA 95131,3.2,$25,1
65,65,112,2237,poke house,1698 Hostetter Rd San Jose CA 95131,4.0,$20,579,kim tar,1698 Hostetter Road San Jose CA 95131,3.2,$60,2
66,66,113,977,hom korean kitchen,76 E Santa Clara St San Jose CA 95113,4.0,$5,361,curry pundits,30 E Santa Clara St San Jose CA 95113,-,$40,1
67,67,113,2025,hom korean kitchen,76 E Santa Clara St San Jose CA 95113,4.0,$5,361,muchos,72 E Santa Clara St San Jose CA 95113,3.3,$25,3
68,68,113,2568,hom korean kitchen,76 E Santa Clara St San Jose CA 95113,4.0,$5,361,bakery mexico,87 E Santa Clara St San Jose CA 95113,3.1,$20,1
69,69,113,3090,hom korean kitchen,76 E Santa Clara St San Jose CA 95113,4.0,$5,361,dive bar,78 E Santa Clara St San Jose CA 95113,-,$25,1
70,70,119,149,los tacos no.1,75 9th Ave New York NY 10011,4.5,$5,1466,buddakan,75 9th Avenue New York NY 10011,4.9,$125,134
71,71,119,209,los tacos no.1,75 9th Ave New York NY 10011,4.5,$5,1466,buddakan,75 9th Avenue New York NY 10011,4.9,$125,134
72,72,119,932,los tacos no.1,75 9th Ave New York NY 10011,4.5,$5,1466,los tacos no. 1,Chelsea Market 75 9th Avenue New York NY 10011,4.0,$25,22
73,73,119,2691,los tacos no.1,75 9th Ave New York NY 10011,4.5,$5,1466,amy's bread,75 9th Avenue New York NY 10011,4.0,$20,16
74,74,123,3242,breakroom,83 Baxter St New York NY 10013,4.5,$5,1098,forlini's ,93 Baxter St New York NY 10013,4.5,$105,20
75,75,129,651,thai villa,5 E 19th St New York NY 10003,4.5,$20,306,craft,43 E 19th St New York NY 10003,4.2,$140,34
76,76,129,1248,thai villa,5 E 19th St New York NY 10003,4.5,$20,306,abc cocina,38 E 19th St New York NY 10003,3.9,$80,24
77,77,131,158,gramercy tavern,42 E 20th St New York NY 10003,4.5,$91,2137,gramercy tavern,42 E 20th St NY 10003,4.4,$160,95
78,78,131,218,gramercy tavern,42 E 20th St New York NY 10003,4.5,$91,2137,gramercy tavern,42 E 20th St NY 10003,4.4,$160,95
79,79,135,308,reserve a table,410 Saratoga Ave San Jose CA 95129,4.0,$91,721,le papillon,410 Saratoga Avenue  San Jose CA 95129,3.9,$50,6
80,80,139,106,reserve a table,1110 Willow St San Jose CA 95125,4.0,$20,1725,bill's cafe,1115 Willow St San Jose CA 95125,3.9,$30,4
81,81,139,414,reserve a table,1110 Willow St San Jose CA 95125,4.0,$20,1725,the table,1110 Willow St San Jose CA 95125,3.7,$85,6
82,82,140,313,smoking pig bbq,1144 N 4th St San Jose CA 95112,4.0,$20,2136,smoking pig bbq company,1144 North 4th St San Jose CA 95112,3.8,$50,10
83,83,142,363,reserve a table,69 N San Pedro St San Jose CA 95110,4.0,$20,1034,firehouse no.1,69 N San Pedro St San Jose CA 95110,3.5,$30,5
84,84,145,1773,chan seattle,86 Pine St Seattle WA 98101,4.5,$20,463,chan seattle,Inn At The Market 86 Pine St Seattle WA 98101,3.6,$45,25
85,85,146,556,tilikum place cafe,407 Cedar St Seattle WA 98121,4.5,$20,1107,tilikum place cafe,407 Cedar St Seattle WA 98121,4.5,$75,46
86,86,146,877,tilikum place cafe,407 Cedar St Seattle WA 98121,4.5,$20,1107,bambino's,401 Cedar St Seattle WA 98121,3.6,$40,40
87,87,148,551,radiator whiskey,94 Pike St Seattle WA 98101,4.5,$20,780,radiator whiskey,Pike Place Market 94 Pike St Suite 30 WA 98101,3.6,$45,15
88,88,152,1755,pomodoro,2366 Eastlake Ave E Seattle WA 98102,4.5,$20,224,pomodoro,2366 Eastlake Avenue E Eastlake/Lake Union Seattle WA 98102,3.6,$70,18
89,89,154,60,paseo caribbean food - fremont,4225 Fremont Ave N Seattle WA 98103,4.5,$5,4285,paseo,4225 Fremont Avenue N Seattle WA 98103,4.9,$25,181
90,90,156,27,pike place chowder,1530 Post Aly Seattle WA 98101,4.5,$20,4397,pike place chowder,Pike Place Market 1530 Post Alley Seattle WA 98101,4.5,$25,129
91,91,156,579,pike place chowder,1530 Post Aly Seattle WA 98101,4.5,$20,4397,rachel's ginger beer,1530 Post Alley Seattle WA 98101,3.8,$15,24
92,92,156,1391,pike place chowder,1530 Post Aly Seattle WA 98101,4.5,$20,4397,pike place chowder,Pacific Place Level 4 600 Pine St Seattle WA 98101,3.6,$25,28
93,93,158,717,manolin,3621 Stone Way N Seattle WA 98103,4.5,$20,229,roro bbq & grill,3620 Stone Way N Seattle WA 98103,4.1,$40,28
94,94,158,3209,manolin,3621 Stone Way N Seattle WA 98103,4.5,$20,229,manolin,3621 Stone Way North WA 98103,3.3,$50,5
95,95,163,43,roaring fork,701 Congress Ave Austin TX 78701,4.0,$20,716,roaring fork - intercontinental,701 Congress Avenue Austin TX 78701,4.2,$80,38
96,96,165,843,swift’s attic,315 Congress Ave Austin TX 78701,4.0,$20,746,swift's attic,315  Second Floor Congress Avenue Austin TX 78701,3.4,$70,24
97,97,167,116,franklin barbecue,900 E 11th St Austin TX 78702,4.5,$20,3172,franklin barbecue,900 East 11th St Austin TX 78702,4.6,$35,126
98,98,168,3080,stella san jac,310 E 5th St Austin TX 78701,4.5,$20,237,stella san jac,The Westin 310 E 5th St Austin TX 78701,3.0,$70,8
99,99,169,128,"truluck’s seafood, steak and crab house",400 Colorado St Austin TX 78701,4.5,$45,497,frank,407 Colorado St Austin TX 78701,4.0,$35,59
100,100,169,434,"truluck’s seafood, steak and crab house",400 Colorado St Austin TX 78701,4.5,$45,497,truluck's,400 Colorado St Austin TX 78701,3.8,$200,31
101,101,169,837,"truluck’s seafood, steak and crab house",400 Colorado St Austin TX 78701,4.5,$45,497,sullivan's steakhouse,300 Colorado St Austin TX 78701,3.6,$150,21
102,102,169,1892,"truluck’s seafood, steak and crab house",400 Colorado St Austin TX 78701,4.5,$45,497,tenoak,409 Colorado St Austin TX 78701,3.0,$35,14
103,103,170,47,uchiko,4200 N Lamar Blvd Austin TX 78756,4.5,$91,1320,uchiko,4200 N Lamar Blvd Suite 140 TX 78756,4.1,$70,56
104,104,172,114,odd duck,1201 S Lamar Blvd Austin TX 78704,4.5,$45,982,uchi,801 S Lamar Blvd Austin TX 78704,4.5,$60,87
105,105,172,347,odd duck,1201 S Lamar Blvd Austin TX 78704,4.5,$45,982,odd duck,1201 S Lamar Blvd Austin TX 78704,3.7,$65,25
106,106,172,2748,odd duck,1201 S Lamar Blvd Austin TX 78704,4.5,$45,982,broken spoke,3201 S Lamar Blvd Austin TX 78704,3.1,$50,6
107,107,173,117,moonshine patio bar & grill,303 Red River St Austin TX 78701,4.0,$20,2378,moonshine patio bar & grill,303 Red River St Austin TX 78701,4.7,$60,136
108,108,174,516,hey!... you gonna eat or what?,1720 Barton Springs Rd Austin TX 78704,4.5,$5,624,the mighty cone,1720 Barton Springs Road Austin TX 78704,4.1,$25,23
109,109,174,2199,hey!... you gonna eat or what?,1720 Barton Springs Rd Austin TX 78704,4.5,$5,624,hey!... you gonna eat or what?,1720 Barton Springs Road Austin TX 78704,3.5,$25,12
110,110,179,457,salty sow,1917 Manor Rd Austin TX 78722,4.5,$20,1569,salty sow,1917 Manor Road Austin TX 78722,3.8,$90,25
111,111,181,2166,paper plane,72 S 1st St San Jose CA 95113,4.0,$20,782,paper plane,72 South 1st St San Jose CA 95113,2.7,$45,1
112,112,183,977,kali noodles and tea bar,374 E Santa Clara St San Jose CA 95113,4.5,$20,71,curry pundits,30 E Santa Clara St San Jose CA 95113,-,$40,1
113,113,183,1673,kali noodles and tea bar,374 E Santa Clara St San Jose CA 95113,4.5,$20,71,new tung kee noodle house,264 E Santa Clara St San Jose CA 95113,3.2,$45,2
114,114,183,2068,kali noodles and tea bar,374 E Santa Clara St San Jose CA 95113,4.5,$20,71,nick's,354 E Santa Clara St San Jose CA 95113,2.9,$13,1
115,115,186,604,back a yard,80 N Market St San Jose CA 95113,4.0,$20,1337,back a yard,80 North Market St San Jose CA 95113,3.1,$13,2
116,116,187,371,our house,185 Park Ave San Jose CA 95113,4.5,$20,136,scott's seafood,185 Park Avenue San Jose CA 95113,3.5,$13,4
117,117,191,1369,contigo,2027 Anchor Ln Austin TX 78723,4.0,$20,628,contigo,2027 Anchor Lane Austin TX 78723,3.8,$75,21
118,118,194,247,elliott’s oyster house,1201 Alaskan Way Seattle WA 98101,4.0,$45,2150,elliott's oyster house,Pier 56 1201 Alaskan Way Seattle WA 98101,4.1,$110,86
119,119,195,778,iii forks,111 Lavaca St Austin TX 78701,4.0,$91,298,iii forks steakhouse,111 Lavaca St Austin TX 78701,3.5,$150,21
120,120,197,1622,cafe josie,1200 W 6th St Austin TX 78703,4.5,$45,187,clark's oyster bar,1200 W 6th St Austin TX 78703,3.5,$25,11
121,121,197,1718,cafe josie,1200 W 6th St Austin TX 78703,4.5,$45,187,rounders pizzeria,1203 W 6th St Austin TX 78703,3.6,$30,10
122,122,197,1726,cafe josie,1200 W 6th St Austin TX 78703,4.5,$45,187,sweetish hill bakery & cafe,1120 W 6th St Austin TX 78703,3.4,$25,7
123,123,197,1839,cafe josie,1200 W 6th St Austin TX 78703,4.5,$45,187,cafe josie,1200 W 6th St Austin TX 78703,3.5,$100,10
124,124,198,803,the river café,1 Water St Brooklyn NY 11201,4.0,$91,747,the river caf,1 Water St Brooklyn NY 11201,4.0,$300,19
125,125,199,1344,mike’s noodle house,418 Maynard Ave S Seattle WA 98104,4.0,$5,757,mike's noodle house,418 Maynard Avenue S Seattle WA 98104,3.7,$25,16
126,126,199,2667,mike’s noodle house,418 Maynard Ave S Seattle WA 98104,4.0,$5,757,phnom penh noodle house,660 South King St Seattle WA 98104,3.5,$35,14
127,127,200,340,baretto,10710 Research Blvd Austin TX 78759,4.5,$20,35,the cheesecake factory,10000 Research Blvd Austin TX 78759,3.9,$80,31
128,128,200,1083,baretto,10710 Research Blvd Austin TX 78759,4.5,$20,35,catfish parlour,11910 Research Blvd Austin TX 78759,3.6,$45,16
129,129,200,1974,baretto,10710 Research Blvd Austin TX 78759,4.5,$20,35,brio tuscan grille,10000 Research Blvd Austin TX 78759,3.2,$70,9
130,130,201,925,kuneho,1600 E 6th St Austin TX 78702,4.0,$91,17,east side showroom,1100 E 6th St Austin TX 78702,3.6,$35,21
131,131,201,1361,kuneho,1600 E 6th St Austin TX 78702,4.0,$91,17,kuneho,1600 E 6th St TX 78702,3.5,$225,17
132,132,204,1199,la catalana,3720 N 1st St San Jose CA 95134,4.0,$20,369,sendo sushi,3730 N 1st St San Jose CA 95134,3.3,$43,2
133,133,204,2041,la catalana,3720 N 1st St San Jose CA 95134,4.0,$20,369,la catalana,3720 N 1st St Suite A San Jose CA 95134,3.3,$90,1
134,134,204,2370,la catalana,3720 N 1st St San Jose CA 95134,4.0,$20,369,the castle,3730 N 1st St San Jose CA 95134,3.0,$30,1
135,135,209,171,babbo,110 Waverly Pl New York NY 10011,4.0,$91,2005,babbo,110 Waverly Place New York NY 10011,4.1,$150,108
136,136,209,231,babbo,110 Waverly Pl New York NY 10011,4.0,$91,2005,babbo,110 Waverly Place New York NY 10011,4.1,$150,108
137,137,211,1934,izakaya mew,53 W 35th St New York NY 10001,4.0,$20,1233,cho dang gol,55 W 35th St New York NY 10001,3.8,$60,19
138,138,212,656,jane,100 W Houston St New York NY 10012,4.0,$20,2534,jane,100 W Houston St New York NY 10012,4.2,$70,47
139,139,212,2254,jane,100 W Houston St New York NY 10012,4.0,$20,2534,miss lily's,132 W Houston St New York NY 10012,4.0,$75,31
140,140,212,2308,jane,100 W Houston St New York NY 10012,4.0,$20,2534,arturo's,106 W Houston St New York NY 10012,4.2,$50,16
141,141,217,1576,asian spicy curry pop-up,46 Mulberry St New York NY 10013,4.5,$5,82,angelo's of mulberry st.,146 Mulberry St New York NY 10013,4.2,$110,24
142,142,217,3143,asian spicy curry pop-up,46 Mulberry St New York NY 10013,4.5,$5,82,paesano of mulberry street,136 Mulberry St New York NY 10013,3.9,$60,19
143,143,219,785,shanghai asian manor,21 Mott St New York NY 10013,4.0,$20,966,peking duck house,28 Mott St New York NY 10013,4.0,$50,30
144,144,219,2328,shanghai asian manor,21 Mott St New York NY 10013,4.0,$20,966,hop kee,21 Mott St New York NY 10013,3.8,$30,14
145,145,219,3230,shanghai asian manor,21 Mott St New York NY 10013,4.0,$20,966,ping seafood ,22 Mott St New York NY 10013,3.7,$40,15
146,146,221,2226,distilled,211 W Broadway New York NY 10013,4.0,$20,565,pepolino ristorante,281 W Broadway New York NY 10013,4.1,$80,19
147,147,226,86,sj omogari korean ,154 Jackson St San Jose CA 95112,4.0,$20,1815,sj omogari,154 Jackson St San Jose CA 95112,4.4,$20,12
148,148,228,2136,nick the greek,1399 Lincoln Ave San Jose CA 95125,4.0,$5,51,dolcetto,1399 Lincoln Avenue San Jose CA 95125,2.8,$13,2
149,149,231,14,pizza antica,334 Santana Row San Jose CA 95128,4.0,$20,2165,pizza antica,334 Santana Row San Jose CA 95128,4.2,$45,11
150,150,231,24,pizza antica,334 Santana Row San Jose CA 95128,4.0,$20,2165,straits,333 Santana Row San Jose CA 95128,3.7,$40,11
151,151,231,109,pizza antica,334 Santana Row San Jose CA 95128,4.0,$20,2165,cocola bakery,333 Santana Row San Jose CA 95128,3.6,$30,6
152,152,236,2340,taboonette,30 E 13th St New York NY 10003,4.5,$20,612,the redhead,349 E 13th St New York NY 10003,3.8,$75,17
153,153,237,3215,bozu,296 Grand St Brooklyn NY 11211,4.0,$20,671,caracas arepa bar,291 Grand St Brooklyn NY 11211,4.0,$60,16
154,154,239,3026,le pif,465 W 23rd St New York NY 10011,4.5,$20,64,le zie,172 7th Avenue New York NY 10011,4.0,$110,12
155,155,241,1037,local & vine,282 Hudson St New York NY 10013,4.5,$20,20,ninja new york,25 Hudson St New York NY 10013,3.7,$90,29
156,156,245,2377,fish’s wild,4180 N 1st St San Jose CA 95134,3.5,$20,11,rok steakhouse,4130 N 1st St San Jose CA 95134,2.6,$30,1
157,157,255,289,black bottle,2600 1st Ave Seattle WA 98121,4.0,$20,938,black bottle,2600 1st Avenue Seattle WA 98121,4.0,$50,44
158,158,256,69,salumi artisan cured meats,309 3rd Ave S Seattle WA 98104,4.5,$20,1181,salumi,309 3rd Avenue S Seattle WA 98104,4.5,$40,88
159,159,258,272,how to cook a wolf,2208 Queen Anne Ave N Seattle WA 98109,4.0,$45,708,how to cook a wolf,2208 Queen Anne Avenue North Seattle WA 98109,3.8,$60,56
160,160,262,1135,din tai fung,2621 NE 46th St Seattle WA 98105,4.0,$20,1349,din tai fung,2621 NE 46th St WA 98105,3.7,$45,29
161,161,263,3185,le’s deli & bakery,4219 S Othello St Seattle WA 98118,4.5,$5,19,huarachitos cocina mexicana,4219 S Othello St Seattle WA 98118,3.6,$40,11
162,162,266,1889,sophia’s,500 W 6th St Austin TX 78701,4.0,$45,80,fixe,500 W 5th St Austin TX 78701,3.0,$75,4
163,163,266,2983,sophia’s,500 W 6th St Austin TX 78701,4.0,$45,80,wu chow,500 W 5th St Austin TX 78701,-,$25,3
164,164,268,515,gus’s world famous fried chicken,117 San Jacinto Blvd Austin TX 78701,4.0,$5,984,gus's world famous fried chicken,117 San Jacinto Blvd TX 78701,3.6,$25,19
165,165,268,899,gus’s world famous fried chicken,117 San Jacinto Blvd Austin TX 78701,4.0,$5,984,scholz garten,1607 San Jacinto Blvd Austin TX 78701,3.6,$40,17
166,166,268,1632,gus’s world famous fried chicken,117 San Jacinto Blvd Austin TX 78701,4.0,$5,984,the backspace,507 San Jacinto Blvd Austin TX 78701,3.6,$75,15
167,167,270,860,snooze - an am eatery,1700 S Lamar Blvd Austin TX 78704,4.0,$20,361,gourdough's public house,2700 S Lamar Blvd Austin TX 78704,3.7,$40,18
168,168,271,1151,six seven,2411 Alaskan Way Seattle WA 98121,4.0,$45,627,six seven,Edgewater Hotel 2411 Alaskan Way Seattle WA 98121,3.6,$70,36
169,169,272,1896,blue dahlia bistro,3663 Bee Caves Rd Austin TX 78746,4.0,$20,141,blue dahlia bistro,3663 Bee Cave Road Austin TX 78746,3.5,$50,12
170,170,274,1002,aqua by el gaucho,2801 Alaskan Way Seattle WA 98121,4.0,$91,648,aqua by el gaucho,Pier 70 2801 Alaskan Way Seattle WA 98121,3.6,$150,34
171,171,275,236,palace kitchen,2030 5th Ave Seattle WA 98121,4.0,$20,915,palace kitchen,2030 5th Avenue Seattle WA 98121,4.1,$90,62
172,172,276,244,revel,403 N 36th St Seattle WA 98103,4.0,$20,1034,revel,403 North 36th St Seattle WA 98103,4.2,$50,86
173,173,276,2073,revel,403 N 36th St Seattle WA 98103,4.0,$20,1034,qazis indian curry house,473 N 36th St Seattle WA 98103,3.7,$45,13
174,174,278,286,shiro’s,2401 2nd Ave Seattle WA 98121,4.5,$45,1448,shiro's,2401 2nd Avenue Seattle WA 98121,4.2,$50,47
175,175,279,1366,delicious,1100 S Lamar Blvd Austin TX 78704,4.5,$20,52,alamo drafthouse,1120 S Lamar Blvd Austin TX 78704,3.8,$50,14
176,176,279,1708,delicious,1100 S Lamar Blvd Austin TX 78704,4.5,$20,52,the highball,1120 S Lamar Blvd Austin TX 78704,3.5,$45,11
177,177,279,2636,delicious,1100 S Lamar Blvd Austin TX 78704,4.5,$20,52,luke's inside out,1109 S Lamar Blvd Austin TX 78704,3.4,$30,6
