,_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_ratingValue,ltable_price_range,ltable_number_of_reviews,rtable_name,rtable_address,rtable_ratingValue,rtable_price_range,rtable_number_of_reviews,gold_labels
1224,1224,1934,1077,san francisco bakery & cafÃ©,2900 W Anderson Ln Austin TX 78757,4.0,$5,271,san francisco bakery and cafe,2900 W Anderson Lane Suite L Austin TX 78757,3.7,$25,12,1
447,447,662,907,andiamo ristorante,2521 Rutland Dr Austin TX 78758,4.0,$45,316,andiamo ristorante,2521 Rutland Drive Austin TX 78758,3.7,$120,18,1
1336,1336,2115,1524,the little london plane,322 Occidental Ave S Seattle WA 98104,4.0,$20,17,the london plane,300 Occidental Avenue South Seattle WA 98104,3.5,$35,16,0
656,656,943,2989,turf n surf poâ boy,407 Lavaca St Austin TX 78701,4.5,$20,837,lavaca street bar,405 Lavaca St Austin TX 78701,3.1,$60,7,0
1153,1153,1802,1239,nougatine at jean-georges,1 Central Park W New York NY 10023,4.0,$45,916,nougatine,1 Central Park West New York NY 10023,3.7,$150,33,1
1613,1613,2600,973,sushi kan,1305 N 1st St San Jose CA 95112,3.5,$20,81,sushi zen,1305 North First St San Jose CA 95112,3.4,$43,2,1
832,832,1220,264,julieâs garden,81 Yesler Way Seattle WA 98104,4.0,$5,149,jade garden,424 7th Avenue South International District Seattle WA 98104,4.1,$35,73,0
166,166,268,1632,gusâs world famous fried chicken,117 San Jacinto Blvd Austin TX 78701,4.0,$5,984,the backspace,507 San Jacinto Blvd Austin TX 78701,3.6,$75,15,0
818,818,1191,2861,joey kitchen,University Village 2603 NE 46th St Seattle WA 98105,3.5,$20,324,joey,University Village 2603 NE 46th St Seattle WA 98105,3.2,$40,5,1
212,212,316,701,quinnâs,1001 E Pike St Seattle WA 98122,4.0,$20,1176,poquitos,1000 E Pike St Seattle WA 98122,3.6,$50,36,0
881,881,1283,2571,bray butcher block and bistro,100 N Almaden Rd San Jose CA 95110,4.0,$20,253,bray butcher block and bistro,San Pedro Square Market 100 N Almaden Avenue Suite 182 San Jose CA 95110,-,$35,1,1
1928,1928,3080,168,nobu,105 Hudson St New York NY 10013,4.0,$91,1295,nobu,105 Hudson St New York NY 10013,4.3,$250,70,1
751,751,1084,367,mudai ethiopian ,503 W San Carlos St San Jose CA 95126,4.0,$20,294,gojo ethiopian,1261 W San Carlos St San Jose CA 95126,3.5,$80,7,0
1360,1360,2158,112,house of genji,1335 N 1st St San Jose CA 95112,3.5,$20,569,house of genji,1335 North First St San Jose CA 95112,3.7,$25,6,1
1718,1718,2721,841,chenâs noodle house,8650 Spicewood Springs Rd Austin TX 78759,4.0,$5,368,asia cafe,8650 Spicewood Springs Road Austin TX 78759,4.1,$35,25,0
423,423,624,111,golden garlic,1530 S De Anza Blvd San Jose CA 95129,4.0,$20,88,layang layang,1480 S De Anza Blvd San Jose CA 95129,4.5,$40,5,0
1194,1194,1873,138,juan in a million,2300 E Cesar Chavez St Austin TX 78702,4.0,$5,1180,juan in a million,2300 E Cesar Chavez St Austin TX 78702,4.0,$25,66,1
1987,1987,3160,2962,schooner exact brewing company,3901 1st Ave S Seattle WA 98134,4.5,$20,186,schooner exact brewery and ,3901 1st Avenue South WA 98134,3.4,$75,4,1
192,192,296,2242,hokkaido ramen santouka,675 Saratoga Ave San Jose CA 95129,4.0,$20,2482,j sweet,675 Saratoga Avenue San Jose CA 95129,2.9,$13,1,0
296,296,442,854,jeffreyâs,1204 W Lynn St Austin TX 78703,4.0,$91,172,jeffrey's,1204 West Lynn St Austin TX 78703,3.6,$200,20,1
381,381,556,578,souvlakiâs greek skewers,577 W Alma Ave San Jose CA 95125,4.5,$5,658,souvlaki greek skewers,577 W Alma Avenue San Jose CA 95125,3.9,$25,3,1
465,465,691,1784,kauai family ,6324 6th Ave S Seattle WA 98108,4.0,$5,345,kauai family ,6324 6th Avenue South Seattle WA 98108,3.9,$25,16,1
1035,1035,1559,3169,mi tradicion,801 E William Cannon Dr Austin TX 78745,4.5,$5,66,tucci's southside subs,801 E William Cannon Drive Austin TX 78745,3.1,$25,5,0
2008,2008,3188,2439,pho an,12526 Lake City Way NE Seattle WA 98125,4.5,$5,287,elliott bay brewery & pub,12537 Lake City Way NE Seattle WA 98125,3.6,$30,14,0
1441,1441,2280,2421,thai-u-up,7501 Roosevelt Way NE Seattle WA 98115,4.5,$5,33,cloud city coffee,8801 Roosevelt Way NE Seattle WA 98115,3.8,$25,10,0
958,958,1421,1304,pig and khao,68 Clinton St New York NY 10002,4.0,$20,928,clinton street baking company,4 Clinton St New York NY 10002,4.3,$70,83,0
1350,1350,2136,1237,gardenia,64 Downing St New York NY 10014,4.0,$20,122,blue ribbon bakery,34 Downing St New York NY 10014,4.0,$60,14,0
1615,1615,2605,1049,juicy burger,630 Blossom Hill Rd San Jose CA 95123,4.0,$5,180,juicy burger,630 Blossom Hill Road  San Jose CA 95123,3.4,$25,3,1
918,918,1371,2025,punjab cafe,322 E Santa Clara St San Jose CA 95113,4.0,$5,655,muchos,72 E Santa Clara St San Jose CA 95113,3.3,$25,3,0
265,265,400,2442,green leaf vietnamese ,2800 1st Ave Seattle WA 98121,4.0,$20,405,green leaf vietnamese,2800 1st Avenue WA 98121,3.5,$30,12,1
156,156,245,2377,fishâs wild,4180 N 1st St San Jose CA 95134,3.5,$20,11,rok steakhouse,4130 N 1st St San Jose CA 95134,2.6,$30,1,0
1113,1113,1712,558,skycity at the needle,400 Broad St Seattle WA 98109,3.5,$45,1328,skycity ,400 Broad St Seattle WA 98109,3.5,$130,59,1
632,632,900,2578,great wall chinese ,1409 Bird Ave San Jose CA 95125,4.0,$20,160,great wall chinese,1409 Bird Avenue San Jose CA 95125,3.4,$80,1,1
37,37,91,757,reserve a table,15005 Mount Hamilton Rd San Jose CA 95140,4.0,$45,390,grandview,15005 Mount Hamilton Road San Jose CA 95140,3.4,$65,1,0
1038,1038,1568,2449,taylor shellfish farms,1521 Melrose Ave Seattle WA 98122,4.0,$20,664,taylor shellfish,Melrose Market 1521 Melrose Avenue Seattle WA 98122,3.3,$65,18,1
217,217,329,821,koriente,621 E 7th St Austin TX 78701,4.5,$5,1102,koriente,621 E 7th St Austin TX 78701,3.8,$35,21,1
134,134,204,2370,la catalana,3720 N 1st St San Jose CA 95134,4.0,$20,369,the castle,3730 N 1st St San Jose CA 95134,3.0,$30,1,0
1888,1888,3007,661,reserve a table,325 W 51st St New York NY 10019,4.0,$45,186,ippudo westside,321 W 51st St New York NY 10019,4.3,$70,36,0
1952,1952,3105,875,greenlake bar & grill,7200 E Green Lake Dr N Seattle WA 98115,3.5,$20,446,greenlake bar & grill,7200 East Green Lake Drive North Seattle WA 98115,3.5,$40,16,1
924,924,1376,2593,ocho,2325 NW Market St Seattle WA 98107,4.0,$20,507,brimmer & heeltap,425 NW Market St Seattle WA 98107,3.3,$55,13,0
1331,1331,2108,1657,maâs ,1715 Lundy Ave San Jose CA 95131,3.5,$20,497,thai recipe,1715 Lundy Avenue San Jose CA 95131,3.3,$13,1,0
89,89,154,60,paseo caribbean food - fremont,4225 Fremont Ave N Seattle WA 98103,4.5,$5,4285,paseo,4225 Fremont Avenue N Seattle WA 98103,4.9,$25,181,1
1462,1462,2322,540,sripraphai thai ,64-13 39th Ave Woodside NY 11377,4.0,$20,1892,sripraphai,6413 39th Avenue Queens NY 11377,4.5,$45,44,1
376,376,552,1667,boiling point,1698 Hostetter Rd San Jose CA 95131,3.0,$20,96,do re mi,1698 Hostetter Road San Jose CA 95131,3.5,$30,1,0
1654,1654,2656,2769,mikado ryotei,9033 Research Blvd Austin TX 78758,4.0,$20,343,sherlock's baker st. pub & grill,9012 Research Blvd Austin TX 78758,3.1,$40,4,0
158,158,256,69,salumi artisan cured meats,309 3rd Ave S Seattle WA 98104,4.5,$20,1181,salumi,309 3rd Avenue S Seattle WA 98104,4.5,$40,88,1
555,555,806,1044,tomato thyme-willow glen,1560 Hamilton Ave San Jose CA 95125,3.5,$20,492,tomato thyme,1560 Hamilton Avenue San Jose CA 95125,3.8,$40,3,1
1769,1769,2810,1096,thai kitchen,3009 Guadalupe St Austin TX 78705,3.5,$5,428,thai kitchen,3009 Guadalupe St Austin TX 78705,3.7,$30,18,1
